rank,file,t_sec,score,U,A,D,n_boxes,n_ambiguous,empty,selected
147,frame_0269.jpg,107.6,0.4642,0.7124,0.3333,0.04,7,2,False,False
148,frame_0208.jpg,83.2,0.4628,0.4216,0.3333,0.76,4,2,False,False
149,frame_0283.jpg,113.2,0.4621,0.4163,0.5,0.52,5,3,False,False
150,frame_0290.jpg,116.0,0.4586,0.4972,0.1667,0.8,7,1,False,False
151,frame_0310.jpg,124.0,0.4585,0.585,0.5,0.08,7,3,False,False
152,frame_0070.jpg,28.0,0.4578,0.4156,0.1667,1.0,5,1,False,False
153,frame_0206.jpg,82.4,0.4571,0.4103,0.3333,0.76,4,2,False,False
154,frame_0303.jpg,121.2,0.456,0.5681,0.3333,0.36,6,2,False,False
155,frame_0092.jpg,36.8,0.4538,0.4956,0.5,0.28,6,3,False,False
156,frame_0386.jpg,154.4,0.4535,0.5111,0.5,0.24,9,3,False,False
157,frame_0072.jpg,28.8,0.4523,0.4045,0.1667,1.0,7,1,False,False
158,frame_0028.jpg,11.2,0.451,0.4019,0.1667,1.0,5,1,False,False
159,frame_0314.jpg,125.6,0.4509,0.5698,0.5,0.08,8,3,False,False
160,frame_0207.jpg,82.8,0.4501,0.4802,0.1667,0.8,4,1,False,False
161,frame_0330.jpg,132.0,0.4479,0.6799,0.3333,0.04,9,2,False,False
162,frame_0389.jpg,155.6,0.4473,0.7465,0.1667,0.12,10,1,False,False
163,frame_0177.jpg,70.8,0.4463,0.6127,0.3333,0.2,8,2,False,False
164,frame_0191.jpg,76.4,0.4462,0.6284,0.3333,0.16,6,2,False,False
165,frame_0094.jpg,37.6,0.4455,0.511,0.5,0.2,6,3,False,False
166,frame_0194.jpg,77.6,0.4454,0.5788,0.3333,0.28,5,2,False,False
167,frame_0323.jpg,129.2,0.4424,0.5367,0.5,0.12,6,3,False,False
168,frame_0113.jpg,45.2,0.4423,0.5887,0.3333,0.24,7,2,False,False
169,frame_0268.jpg,107.2,0.4411,0.6503,0.3333,0.08,7,2,False,False
170,frame_0298.jpg,119.2,0.4391,0.4542,0.3333,0.56,6,2,False,False
171,frame_0214.jpg,85.6,0.4384,0.4688,0.3333,0.52,4,2,False,False
172,frame_0325.jpg,130.0,0.4379,0.6598,0.3333,0.04,7,2,False,False
173,frame_0315.jpg,126.0,0.4378,0.5276,0.5,0.12,8,3,False,False
174,frame_0296.jpg,118.4,0.4373,0.6185,0.0,0.64,6,0,False,False
175,frame_0179.jpg,71.6,0.4367,0.6254,0.3333,0.12,10,2,False,False
176,frame_0131.jpg,52.4,0.4311,0.3782,0.1667,0.96,5,1,False,False
177,frame_0301.jpg,120.4,0.4307,0.4854,0.3333,0.44,7,2,False,False
178,frame_0274.jpg,109.6,0.4302,0.5964,0.3333,0.16,7,2,False,False
179,frame_0276.jpg,110.4,0.4288,0.6616,0.1667,0.24,11,1,False,False
180,frame_0390.jpg,156.0,0.4277,0.6235,0.3333,0.08,11,2,False,False
181,frame_0226.jpg,90.4,0.4262,0.7364,0.1667,0.04,6,1,False,False
182,frame_0309.jpg,123.6,0.4257,0.5035,0.5,0.12,9,3,False,False
183,frame_0104.jpg,41.6,0.4254,0.6029,0.3333,0.12,6,2,False,False
184,frame_0311.jpg,124.4,0.4241,0.6323,0.3333,0.04,6,2,False,False
185,frame_0199.jpg,79.6,0.4237,0.5553,0.1667,0.48,2,1,False,False
186,frame_0121.jpg,48.4,0.4229,0.5217,0.1667,0.56,4,1,False,False
187,frame_0212.jpg,84.8,0.4225,0.5049,0.1667,0.6,4,1,False,False
188,frame_0117.jpg,46.8,0.4224,0.5848,0.1667,0.4,6,1,False,False
189,frame_0116.jpg,46.4,0.4208,0.5976,0.1667,0.36,8,1,False,False
190,frame_0097.jpg,38.8,0.4204,0.7088,0.1667,0.08,7,1,False,False
191,frame_0202.jpg,80.8,0.42,0.6,0.0,0.6,5,0,False,False
192,frame_0327.jpg,130.8,0.4153,0.7145,0.1667,0.04,13,1,False,False
193,frame_0317.jpg,126.8,0.4145,0.5491,0.3333,0.2,9,2,False,False
194,frame_0197.jpg,78.8,0.413,0.5659,0.1667,0.4,2,1,False,False
195,frame_0095.jpg,38.0,0.4128,0.6616,0.1667,0.16,7,1,False,False
196,frame_0275.jpg,110.0,0.4111,0.6421,0.1667,0.2,9,1,False,False
197,frame_0020.jpg,8.0,0.4088,0.4175,0.0,1.0,5,0,False,False
198,frame_0393.jpg,157.2,0.4085,0.6011,0.3333,0.04,9,2,False,False
199,frame_0285.jpg,114.0,0.4074,0.4747,0.1667,0.6,5,1,False,False
200,frame_0110.jpg,44.0,0.4067,0.3653,0.6667,0.12,5,4,False,False
201,frame_0221.jpg,88.4,0.4059,0.5159,0.3333,0.24,7,2,False,False
202,frame_0282.jpg,112.8,0.4042,0.5163,0.1667,0.48,6,1,False,False
203,frame_0100.jpg,40.0,0.4039,0.4918,0.5,0.04,8,3,False,False
204,frame_0010.jpg,4.0,0.4,0.2999,0.1667,1.0,4,1,False,False
205,frame_0217.jpg,86.8,0.3981,0.4363,0.3333,0.4,4,2,False,False
206,frame_0233.jpg,93.2,0.3962,0.5964,0.1667,0.24,8,1,False,False
207,frame_0297.jpg,118.8,0.3942,0.3484,0.3333,0.6,6,2,False,False
208,frame_0183.jpg,73.2,0.3928,0.5697,0.3333,0.04,5,2,False,False
209,frame_0024.jpg,9.6,0.3917,0.2833,0.1667,1.0,4,1,False,False
210,frame_0023.jpg,9.2,0.3905,0.381,0.0,1.0,4,0,False,False
211,frame_0085.jpg,34.0,0.389,0.4539,0.1667,0.56,6,1,False,False
212,frame_0122.jpg,48.8,0.3884,0.4367,0.1667,0.6,5,1,False,False
213,frame_0189.jpg,75.6,0.3871,0.5423,0.3333,0.08,8,2,False,False
214,frame_0280.jpg,112.0,0.3848,0.5096,0.1667,0.4,6,1,False,False
215,frame_0273.jpg,109.2,0.3844,0.5209,0.3333,0.12,8,2,False,False
216,frame_0091.jpg,36.4,0.3819,0.4358,0.3333,0.32,7,2,False,False
217,frame_0203.jpg,81.2,0.381,0.506,0.0,0.64,4,0,False,False
218,frame_0271.jpg,108.4,0.3804,0.6447,0.1667,0.04,6,1,False,False
219,frame_0123.jpg,49.2,0.3796,0.5032,0.0,0.64,6,0,False,False
220,frame_0019.jpg,7.6,0.3786,0.3572,0.0,1.0,2,0,False,False
221,frame_0025.jpg,10.0,0.378,0.356,0.0,1.0,5,0,False,False
222,frame_0204.jpg,81.6,0.3749,0.3777,0.1667,0.68,2,1,False,False
223,frame_0229.jpg,91.6,0.3748,0.7175,0.0,0.08,8,0,False,False
224,frame_0210.jpg,84.0,0.3732,0.3744,0.1667,0.68,4,1,False,False
225,frame_0211.jpg,84.4,0.371,0.386,0.1667,0.64,4,1,False,False
226,frame_0289.jpg,115.6,0.3639,0.3238,0.1667,0.76,6,1,False,False
227,frame_0267.jpg,106.8,0.3629,0.4778,0.3333,0.12,5,2,False,False
228,frame_0320.jpg,128.0,0.3628,0.4296,0.3333,0.24,10,2,False,False
229,frame_0216.jpg,86.4,0.3528,0.4295,0.1667,0.44,4,1,False,False
230,frame_0222.jpg,88.8,0.352,0.4241,0.3333,0.2,8,2,False,False
231,frame_0093.jpg,37.2,0.3511,0.4063,0.3333,0.24,6,2,False,False
232,frame_0397.jpg,158.8,0.3502,0.5204,0.1667,0.2,8,1,False,False
233,frame_0228.jpg,91.2,0.3476,0.3792,0.5,0.04,7,3,False,False
234,frame_0324.jpg,129.6,0.3464,0.5608,0.1667,0.08,6,1,False,False
235,frame_0101.jpg,40.4,0.344,0.556,0.1667,0.08,8,1,False,False
236,frame_0196.jpg,78.4,0.3435,0.543,0.0,0.36,3,0,False,False
237,frame_0190.jpg,76.0,0.3386,0.5291,0.1667,0.12,5,1,False,False
238,frame_0102.jpg,40.8,0.3363,0.4247,0.3333,0.12,6,2,False,False
239,frame_0394.jpg,157.6,0.3351,0.5382,0.1667,0.08,8,1,False,False
240,frame_0106.jpg,42.4,0.3327,0.5493,0.1667,0.04,8,1,False,False
241,frame_0111.jpg,44.4,0.3306,0.5973,0.0,0.16,6,0,False,False
242,frame_0103.jpg,41.2,0.3289,0.4938,0.1667,0.16,5,1,False,False
243,frame_0184.jpg,73.6,0.3275,0.5229,0.1667,0.08,7,1,False,False
244,frame_0087.jpg,34.8,0.3266,0.4612,0.0,0.48,5,0,False,False
245,frame_0376.jpg,150.4,0.311,0.458,0.1667,0.16,7,1,False,False
246,frame_0185.jpg,74.0,0.3102,0.3885,0.3333,0.08,11,2,False,False
247,frame_0279.jpg,111.6,0.2991,0.4542,0.0,0.36,6,0,False,False
248,frame_0118.jpg,47.2,0.296,0.416,0.0,0.44,4,0,False,False
249,frame_0218.jpg,87.2,0.2933,0.3426,0.1667,0.36,5,1,False,False
250,frame_0112.jpg,44.8,0.286,0.392,0.1667,0.2,5,1,False,False
251,frame_0224.jpg,89.6,0.2846,0.4212,0.1667,0.12,6,1,False,False
252,frame_0088.jpg,35.2,0.2751,0.3741,0.0,0.44,6,0,False,False
253,frame_0198.jpg,79.2,0.256,0.2359,0.1667,0.44,4,1,False,False
254,frame_0175.jpg,70.0,0.2544,0.3967,0.0,0.28,8,0,False,False
255,frame_0220.jpg,88.0,0.2418,0.2715,0.1667,0.28,5,1,False,False
256,frame_0313.jpg,125.2,0.221,0.326,0.1667,0.04,6,1,False,False
